CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
AE959,创汇科技有限公司数字科技,韦秀云,运营总监,江苏省海口县普陀安路T座 769434,丹丹县,贵州省,601140,中国,13020838868,18289808142
AN592,毕博诚科技有限公司电子商务,黄秀珍,CEO,河南省淮安市牧野沈阳路O座 825627,东莞市,天津市,695720,中国,14570234056,
DD222,创汇传媒有限公司物联网,汤雷,总经理,青海省凤英县崇文宜都路k座 107909,哈尔滨县,福建省,727350,中国,15200944022,15649445757
EJ836,易动力传媒有限公司区块链技术,阎楠,采购经理,湖北省勇市清浦袁街A座 723471,平县,江苏省,391733,中国,13386392552,13525310270
EY913,华成育卓传媒有限公司互联网服务,纪杰,采购总监,吉林省嘉禾县淄川王街d座 189028,澳门市,天津市,439853,中国,15874351303,15518157797
FR176,戴硕电子传媒有限公司数字科技,陶秀英,总经理,宁夏回族自治区重庆县房山李路H座 594171,欣市,新疆维吾尔自治区,906817,中国,15786973623,
FT489,明腾信息有限公司互联网服务,方丹丹,CTO,黑龙江省斌市翔安海门路a座 883207,沈阳市,上海市,357774,中国,15265003389,13818150863
GP088,鑫博腾飞传媒有限公司虚拟现实,姜鹏,项目经理,山东省惠州市西峰陈路N座 804893,石家庄市,云南省,830433,中国,15003062790,
HI434,联通时科网络有限公司数字科技,张琴,CEO,新疆维吾尔自治区鹏县沙市陈街k座 155641,邯郸县,北京市,797788,中国,13644364773,18613333424
IT063,凌颖信息科技有限公司虚拟现实,汪小红,采购经理,陕西省志强市山亭北京街T座 122777,海门市,安徽省,299163,中国,15175090573,18821366797
JW916,盟新科技有限公司科技公司,高桂荣,采购总监,山东省长沙市兴山上海街E座 290649,杰县,湖北省,142667,中国,18546499216,14723766992
KD752,良诺传媒有限公司网络安全,邓桂香,采购经理,北京市淑兰市沙市梧州路W座 591606,台北市,河南省,447756,中国,13538660111,13050751947
LC431,七喜传媒有限公司电子商务,李红梅,采购总监,四川省洁县丰都李路D座 704347,汕尾市,河南省,470228,中国,18048701113,13661920497
LX021,济南亿次元科技有限公司金融科技,郭璐,采购总监,四川省大冶县蓟州巢湖路k座 168920,拉萨县,内蒙古自治区,829287,中国,18108986550,18851538872
QM806,惠派国际公司科技有限公司电子商务,马颖,CTO,安徽省兴安盟县清河长春路Z座 394995,沈阳县,宁夏回族自治区,253655,中国,13696175437,13033685081
SW708,商软冠联科技有限公司互联网服务,李秀梅,技术总监,贵州省燕县海陵邯郸街b座 667477,深圳市,福建省,361937,中国,18249696485,13422274956
SZ997,菊风公司传媒有限公司科技公司,张军,项目经理,浙江省荆门县山亭汕尾街y座 742712,莹市,广西壮族自治区,553103,中国,14534982223,13506260682
TW853,昂歌信息网络有限公司云计算,欧阳淑英,项目经理,河南省淮安县花溪陈路c座 595650,大冶市,浙江省,482409,中国,18817598941,
WV658,方正科技科技有限公司区块链技术,周小红,CEO,江苏省玉英县西夏哈尔滨路c座 244073,哈尔滨县,四川省,204858,中国,13448052924,15749354318
ZK794,时刻信息有限公司区块链技术,刘明,CEO,上海市玲市江北顾街Y座 553482,建平县,山西省,161800,中国,14523552145,14510587070
